Headers;Contents
Art. 292. Paserstwo nieumyślne;"§ 1. Kto rzecz, o której na podstawie towarzyszących okoliczności powinien i może przypuszczać, że została uzyskana za pomocą czynu zabronionego, nabywa lub pomaga do jej zbycia albo tę rzecz przyjmuje lub pomaga do jej ukrycia,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. W wypadku znacznej wartości rzeczy, o której mowa w § 1, sprawca
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 293. Paserstwo komputerowe;"§ 1. Przepisy art. 291 paserstwo umyślne i art. 292 paserstwo nieumyślne stosuje się odpowiednio do programu komputerowego.
§ 2. Sąd może orzec przepadek rzeczy określonej w § 1 oraz w art. 291 paserstwo umyślne i art. 292 paserstwo nieumyślne, chociażby nie stanowiła ona własności sprawcy."
Art. 294. Obostrzenie odpowiedzialności karnej;"§ 1. Kto dopuszcza się przestępstwa określonego w art. 278 kradzież § 1, 1a, 2, 3a lub 5, art. 284 przywłaszczenie § 1 lub 2, art. 285 uruchomienie na cudzy rachunek impulsów telefonicznych § 1, art. 286 oszustwo § 1 lub 2, art. 287 oszustwo komputerowe § 1, art. 288 zniszczenie cudzej rzeczy § 1 lub 3, art. 290 kradzież drzewa z lasu § 1 lub w art. 291 paserstwo umyślne § 1, w stosunku do mienia znacznej wartości,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Tej samej karze podlega sprawca, który dopuszcza się przestępstwa wymienionego w § 1 w stosunku do dobra o szczególnym znaczeniu dla kultury.
§ 3. Kto dopuszcza się przestępstwa określonego w art. 278 kradzież § 1, 1a, 2, 3a lub 5, art. 279 kradzież z włamaniem § 1, art. 280 rozbój § 1, art. 281 kradzież rozbójnicza, art. 282 wymuszenie rozbójnicze, art. 284 przywłaszczenie § 1 lub 2, art. 285 uruchomienie na cudzy rachunek impulsów telefonicznych § 1, art. 286 oszustwo § 1 lub 2, art. 287 oszustwo komputerowe § 1, art. 288 zniszczenie cudzej rzeczy § 1 lub 3, art. 290 kradzież drzewa z lasu § 1 lub w art. 291 paserstwo umyślne § 1, w stosunku do mienia o wartości większej niż pięciokrotność kwoty określającej mienie wielkiej wartości,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 4. Kto dopuszcza się przestępstwa określonego w art. 278 kradzież § 1, 1a, 2, 3a lub 5, art. 279 kradzież z włamaniem § 1, art. 280 rozbój, art. 281 kradzież rozbójnicza, art. 282 wymuszenie rozbójnicze, art. 284 przywłaszczenie § 1 lub 2, art. 285 uruchomienie na cudzy rachunek impulsów telefonicznych § 1, art. 286 oszustwo § 1 lub 2, art. 287 oszustwo komputerowe § 1, art. 288 zniszczenie cudzej rzeczy § 1 lub 3, art. 290 kradzież drzewa z lasu § 1 lub w art. 291 paserstwo umyślne § 1, w stosunku do mienia o wartości większej niż dziesięciokrotność kwoty określającej mienie wielkiej wartości,
podlega karze pozbawienia wolności od lat 5 do 25."
Art. 295. Nadzwyczajne złagodzenie kary;"§ 1. Wobec sprawcy przestępstwa określonego w art. 278 kradzież, art 284-289, art. 291 paserstwo umyślne, art. 292 paserstwo nieumyślne lub art. 294 obostrzenie odpowiedzialności karnej, który dobrowolnie naprawił szkodę w całości albo zwrócił pojazd lub rzecz mającą szczególne znaczenie dla kultury w stanie nieuszkodzonym, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.
§ 2. Wobec sprawcy przestępstwa wymienionego w § 1, który dobrowolnie naprawił szkodę w znacznej części, sąd może zastosować nadzwyczajne złagodzenie kary."
Art. 296. Wyrządzenie szkody w obrocie gospodarczym;"§ 1. Kto, będąc obowiązany na podstawie przepisu ustawy, decyzji właściwego organu lub umowy do zajmowania się sprawami majątkowymi lub działalnością gospodarczą osoby fizycznej, prawnej albo jednostki organizacyjnej nie mającej osobowości prawnej, przez nadużycie udzielonych mu uprawnień lub niedopełnienie ciążącego na nim obowiązku, wyrządza jej znaczną szkodę majątkową,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 1a. Jeżeli sprawca, o którym mowa w § 1, przez nadużycie udzielonych mu uprawnień lub niedopełnienie ciążącego na nim obowiązku, sprowadza bezpośrednie niebezpieczeństwo wyrządzenia znacznej szkody majątkowej,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli sprawca przestępstwa określonego w § 1 lub 1a działa w celu osiągnięcia korzyści majątkowej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 3. Jeżeli sprawca przestępstwa określonego w § 1 lub 2 wyrządza szkodę majątkową w wielkich rozmiarach,
podlega karze pozbawienia wolności od roku do lat 10.
§ 4. Jeżeli sprawca przestępstwa określonego w § 1 lub 3 działa nieumyślnie,
podlega karze pozbawienia wolności do lat 3.
§ 4a. Jeżeli pokrzywdzonym nie jest Skarb Państwa, ściganie przestępstwa określonego w § 1a następuje na wniosek pokrzywdzonego, wspólnika, akcjonariusza lub udziałowca pokrzywdzonej spółki lub członka pokrzywdzonej spółdzielni.
§ 5. Nie podlega karze, kto przed wszczęciem postępowania karnego dobrowolnie naprawił w całości wyrządzoną szkodę."
Art. 296a. łapownictwo na stanowisku kierowniczym;"§ 1. Kto, pełniąc funkcję kierowniczą w jednostce organizacyjnej wykonującej działalność gospodarczą lub pozostając z nią w stosunku pracy, umowy zlecenia lub umowy o dzieło, żąda lub przyjmuje korzyść majątkową lub osobistą albo jej obietnicę, w zamian za nadużycie udzielonych mu uprawnień lub niedopełnienie ciążącego na nim obowiązku mogące wyrządzić tej jednostce szkodę majątkową albo stanowiące czyn nieuczciwej konkurencji lub niedopuszczalną czynność preferencyjną na rzecz nabywcy lub odbiorcy towaru, usługi lub świadczenia,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto w wypadkach określonych w § 1 udziela albo obiecuje udzielić korzyści majątkowej lub osobistej.
§ 3. W wypadku mniejszej wagi, sprawca czynu określonego w § 1 lub 2
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 4. Jeżeli sprawca czynu określonego w § 1 wyrządza znaczną szkodę majątkową,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 5. Nie podlega karze sprawca przestępstwa określonego w § 2 albo w § 3 w związku z § 2, jeżeli korzyść majątkowa lub osobista albo ich obietnica zostały przyjęte, a sprawca zawiadomił o tym fakcie organ powołany do ścigania przestępstw i ujawnił wszystkie istotne okoliczności przestępstwa, zanim organ ten o nim się dowiedział."
Art. 296b. Uchylony;
Art. 297. Wyłudzenie kredytu;"§ 1. Kto, w celu uzyskania dla siebie lub kogo innego, od banku lub jednostki organizacyjnej prowadzącej podobną działalność gospodarczą na podstawie ustawy albo od organu lub instytucji dysponujących środkami publicznymi – kredytu, pożyczki pieniężnej, poręczenia, gwarancji, akredytywy, dotacji, subwencji, potwierdzenia przez bank zobowiązania wynikającego z poręczenia lub z gwarancji lub podobnego świadczenia pieniężnego na określony cel gospodarczy, instrumentu płatniczego lub zamówienia publicznego, przedkłada podrobiony, przerobiony, poświadczający nieprawdę albo nierzetelny dokument albo nierzetelne, pisemne oświadczenie dotyczące okoliczności o istotnym znaczeniu dla uzyskania wymienionego wsparcia finansowego, instrumentu płatniczego lub zamówienia,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto wbrew ciążącemu obowiązkowi, nie powiadamia właściwego podmiotu o powstaniu sytuacji mogącej mieć wpływ na wstrzymanie albo ograniczenie wysokości udzielonego wsparcia finansowego, określonego w § 1, lub zamówienia publicznego albo na możliwość dalszego korzystania z instrumentu płatniczego.
§ 3. Nie podlega karze, kto przed wszczęciem postępowania karnego dobrowolnie zapobiegł wykorzystaniu wsparcia finansowego lub instrumentu płatniczego, określonych w § 1, zrezygnował z dotacji lub zamówienia publicznego albo zaspokoił roszczenia pokrzywdzonego."
Art. 298. Wyłudzenie odszkodowania;"§ 1. Kto, w celu uzyskania odszkodowania z tytułu umowy ubezpieczenia, powoduje zdarzenie będące podstawą do wypłaty takiego odszkodowania,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Nie podlega karze, kto przed wszczęciem postępowania karnego dobrowolnie zapobiegł wypłacie odszkodowania."
Art. 299. Pranie brudnych pieniędzy;"§ 1. Kto środki płatnicze, instrumenty finansowe, papiery wartościowe, wartości dewizowe, prawa majątkowe lub inne mienie ruchome lub nieruchomości, pochodzące z korzyści związanych z popełnieniem czynu zabronionego, przyjmuje, posiada, używa, przekazuje lub wywozi za granicę, ukrywa, dokonuje ich transferu lub konwersji, pomaga do przenoszenia ich własności lub posiadania albo podejmuje inne czynności, które mogą udaremnić lub znacznie utrudnić stwierdzenie ich przestępnego pochodzenia lub miejsca umieszczenia, ich wykrycie, zajęcie albo orzeczenie przepadku, podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Karze określonej w § 1 podlega, kto będąc pracownikiem lub działając w imieniu lub na rzecz banku, instytucji finansowej lub kredytowej lub innego podmiotu, na którym na podstawie przepisów prawa ciąży obowiązek rejestracji transakcji i osób dokonujących transakcji, przyjmuje, wbrew przepisom, środki płatnicze, instrumenty finansowe, papiery wartościowe, wartości dewizowe, dokonuje ich transferu lub konwersji, lub przyjmuje je w innych okolicznościach wzbudzających uzasadnione podejrzenie, że stanowią one przedmiot czynu określonego w § 1, lub świadczy inne usługi mające ukryć ich przestępne pochodzenie lub usługi w zabezpieczeniu przed zajęciem.
§ 3. (uchylony)
§ 4. (uchylony)
§ 5. Jeżeli sprawca dopuszcza się czynu określonego w § 1 lub 2, działając w porozumieniu z innymi osobami,
podlega karze pozbawienia wolności od roku do lat 10.
§ 6. Karze określonej w § 5 podlega sprawca, jeżeli dopuszczając się czynu określonego w § 1 lub 2, osiąga znaczną korzyść majątkową.
§ 6a. Kto czyni przygotowania do przestępstwa określonego w § 1 lub 2,
podlega karze pozbawienia wolności do lat 3.
§ 7. W razie skazania za przestępstwo określone w § 1 lub 2, sąd orzeka przepadek przedmiotów pochodzących bezpośrednio albo pośrednio z przestępstwa, a także korzyści z tego przestępstwa lub ich równowartość, chociażby nie stanowiły one własności sprawcy. Przepadku nie orzeka się w całości lub w części, jeżeli przedmiot, korzyść lub jej równowartość podlega zwrotowi pokrzywdzonemu lub innemu podmiotowi.
§ 8. Nie podlega karze za przestępstwo określone w § 1 lub 2, kto dobrowolnie ujawnił wobec organu powołanego do ścigania przestępstw informacje dotyczące osób uczestniczących w popełnieniu przestępstwa oraz okoliczności jego popełnienia, jeżeli zapobiegło to popełnieniu innego przestępstwa; jeżeli sprawca czynił starania zmierzające do ujawnienia tych informacji i okoliczności, sąd stosuje nadzwyczajne złagodzenie kary."
Art. 300. Utrudnianie zaspokojenia wierzyciela;"§ 1. Kto, w razie grożącej mu niewypłacalności lub upadłości, udaremnia lub uszczupla zaspokojenie swojego wierzyciela przez to, że usuwa, ukrywa, zbywa, darowuje, niszczy, rzeczywiście lub pozornie obciąża albo uszkadza składniki swojego majątku,
podlega karze pozbawienia wolności do lat 3.
§ 2. Kto, w celu udaremnienia wykonania orzeczenia sądu lub innego organu państwowego, udaremnia lub uszczupla zaspokojenie swojego wierzyciela przez to, że usuwa, ukrywa, zbywa, darowuje, niszczy, rzeczywiście lub pozornie obciąża albo uszkadza składniki swojego majątku zajęte lub zagrożone zajęciem, bądź usuwa znaki zajęcia,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Jeżeli czyn określony w § 1 wyrządził szkodę wielu wierzycielom, sprawca
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 4. Jeżeli pokrzywdzonym nie jest Skarb Państwa, ściganie przestępstwa określonego w § 1 następuje na wniosek pokrzywdzonego."
Art. 301. Pokrzywdzenie wierzyciela;"§ 1. Kto będąc dłużnikiem kilku wierzycieli udaremnia lub ogranicza zaspokojenie ich należności przez to, że tworzy w oparciu o przepisy prawa nową jednostkę gospodarczą i przenosi na nią składniki swojego majątku,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto będąc dłużnikiem kilku wierzycieli doprowadza do swojej upadłości lub niewypłacalności.
§ 3. Kto będąc dłużnikiem kilku wierzycieli w sposób lekkomyślny doprowadza do swojej upadłości lub niewypłacalności, w szczególności przez trwonienie części składowych majątku, zaciąganie zobowiązań lub zawieranie transakcji oczywiście sprzecznych z zasadami gospodarowania,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 302. Dowolne zaspokajanie wybranych wierzycieli;"§ 1. Kto, w razie grożącej mu niewypłacalności lub upadłości, nie mogąc zaspokoić wszystkich wierzycieli, spłaca lub zabezpiecza tylko niektórych, czym działa na szkodę pozostałych,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Kto wierzycielowi udziela lub obiecuje udzielić korzyści majątkowej za działanie na szkodę innych wierzycieli w związku z postępowaniem upadłościowym lub zmierzającym do zapobiegnięcia upadłości,
podlega karze pozbawienia wolności do lat 3.
§ 3. Tej samej karze podlega wierzyciel, który w związku z określonym w § 2 postępowaniem przyjmuje korzyść za działanie na szkodę innych wierzycieli albo takiej korzyści żąda."
Art. 303. Nieprowadzenie lub niezgodne z prawdą prowadzenie dokumentacji działalności gospodarczej;"§ 1. Kto wyrządza szkodę majątkową osobie fizycznej, prawnej albo jednostce organizacyjnej nie mającej osobowości prawnej, przez nieprowadzenie dokumentacji działalności gospodarczej albo prowadzenie jej w sposób nierzetelny lub niezgodny z prawdą, w szczególności niszcząc, usuwając, ukrywając, przerabiając lub podrabiając dokumenty dotyczące tej działalności,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli sprawca przestępstwa określonego w § 1 wyrządza znaczną szkodę majątkową,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. W wypadku mniejszej wagi, sprawca przestępstwa określonego w § 1
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 4. Jeżeli pokrzywdzonym nie jest Skarb Państwa, ściganie przestępstwa określonego w § 1-3 następuje na wniosek pokrzywdzonego."
Art. 304. Wyzysk kontrahenta;"§ 1. Kto, wyzyskując przymusowe położenie innej osoby fizycznej, prawnej albo jednostki organizacyjnej nie mającej osobowości prawnej, zawiera z nią umowę, nakładając na nią obowiązek świadczenia niewspółmiernego ze świadczeniem wzajemnym,
podlega karze pozbawienia wolności do lat 3.
§ 2. Kto, w zamian za udzielone osobie fizycznej świadczenie pieniężne wynikające z umowy pożyczki, kredytu lub innej umowy, której przedmiotem jest udzielenie takiego świadczenia z obowiązkiem jego zwrotu, niezwiązanej bezpośrednio z działalnością gospodarczą lub zawodową tej osoby, żąda od niej zapłaty kosztów innych niż odsetki w kwocie co najmniej dwukrotnie przekraczającej maksymalną wysokość tych kosztów określoną w ustawie,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Tej samej karze podlega, kto, w związku z udzieleniem osobie fizycznej świadczenia pieniężnego wynikającego z umowy pożyczki, kredytu lub innej umowy, której przedmiotem jest udzielenie świadczenia pieniężnego z obowiązkiem jego zwrotu, niezwiązanej bezpośrednio z działalnością gospodarczą lub zawodową tej osoby, żąda od niej zapłaty odsetek w wysokości co najmniej dwukrotnie przekraczającej stopę odsetek maksymalnych lub odsetek maksymalnych za opóźnienie, określonych w ustawie."
